#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
P4_82_NODE_1_length_90391_cov_1832.473433	1	90391	9401693	90391	100	14829.8	35.8	60
P4_82_NODE_2_length_80130_cov_12.255815	1	80130	56202	80123	99.9913	96.962	35.8	59.5
P4_82_NODE_3_length_72235_cov_15.315513	1	72235	62200	72226	99.9875	119.608	35.9	59.7
P4_82_NODE_4_length_66527_cov_55.955813	1	66527	217732	66524	99.9955	450.107	35.9	58.9
P4_82_NODE_5_length_57208_cov_10.306459	1	57208	31646	57208	100	76.7442	35.9	57.2
P4_82_NODE_6_length_55488_cov_20.495331	1	55488	68843	55294	99.6504	167.614	35.8	56.4
P4_82_NODE_7_length_51138_cov_67.875282	1	51138	190269	51138	100	512.575	35.9	54.7
P4_82_NODE_8_length_48271_cov_36.999958	1	48271	100057	48271	100	287.493	35.9	58.6
P4_82_NODE_9_length_47416_cov_12.338409	1	47416	33027	47409	99.9852	96.878	35.8	59.5
P4_82_NODE_10_length_45871_cov_23.097215	1	45871	80274	45863	99.9826	194.699	35.8	44
P4_82_NODE_11_length_44880_cov_5.032445	1	44880	13048	44880	100	39.941	35.8	59.3
P4_82_NODE_12_length_42210_cov_15.660362	1	42210	34391	42210	100	113.628	35.9	57.2
P4_82_NODE_13_length_41557_cov_15.056433	1	41557	35626	41557	100	118.002	35.9	59.5
P4_82_NODE_14_length_39828_cov_16.074154	1	39828	37272	39828	100	128.591	35.7	59.6
P4_82_NODE_15_length_38877_cov_33.845394	1	38877	73665	38877	100	264.926	35.9	59.8
P4_82_NODE_16_length_38383_cov_60.382711	1	38383	133469	38383	100	483.16	35.8	59.3
P4_82_NODE_17_length_38311_cov_38.060392	1	38311	81706	38311	100	296.893	36	59
P4_82_NODE_18_length_36691_cov_5.084126	1	36691	25974	36688	99.9918	73.3868	34.2	30.4
P4_82_NODE_19_length_35611_cov_74.117940	1	35611	150434	35611	100	592.535	36	57.6
P4_82_NODE_20_length_34796_cov_7.221408	1	34796	14284	34782	99.9598	55.9226	35.8	57.6
P4_82_NODE_21_length_34745_cov_41.006326	1	34745	80620	34745	100	322.19	35.9	59.8
P4_82_NODE_22_length_33882_cov_23.318234	1	33882	45061	33882	100	184.098	35.9	59.8
P4_82_NODE_23_length_33817_cov_6.036984	1	33817	11588	33817	100	47.6325	35.8	59.8
P4_82_NODE_24_length_33187_cov_418.420054	1	33187	791949	33187	100	3358.91	35.8	60
P4_82_NODE_25_length_32776_cov_4.620417	1	32776	8330	32776	100	35.4696	35.9	59.6
P4_82_NODE_26_length_32118_cov_144.757307	1	32118	266601	32118	100	1152.89	35.9	59.9
P4_82_NODE_27_length_31513_cov_2.651692	1	31513	5017	31513	100	21.1014	35.6	58.1
P4_82_NODE_28_length_31143_cov_893.096273	1	31143	1631772	31143	100	7381.16	35.7	59.8
P4_82_NODE_29_length_30918_cov_52.086454	1	30918	91853	30918	100	409.634	35.9	59
P4_82_NODE_30_length_30663_cov_4.336455	1	30663	7445	30663	100	33.5674	35.8	59.4
P4_82_NODE_31_length_30505_cov_62.808052	1	30505	107253	30505	100	491.525	36	59.9
P4_82_NODE_32_length_30494_cov_29.421346	1	30494	50784	30494	100	230.73	35.9	59.8
P4_82_NODE_33_length_29892_cov_381.584411	1	29892	662617	29892	100	3079.66	35.9	59.5
P4_82_NODE_34_length_29663_cov_3.744109	1	29663	6977	29663	100	30.7221	35.5	55.8
P4_82_NODE_35_length_29435_cov_3.394807	1	29435	5659	29335	99.6603	26.5906	35.9	59.2
P4_82_NODE_36_length_29248_cov_5.630129	1	29248	9174	29244	99.9863	43.4358	35.9	59.2
P4_82_NODE_37_length_29079_cov_1.849268	1	29079	3284	29079	100	14.9362	35.7	56.6
P4_82_NODE_38_length_28965_cov_96.275019	1	28965	159485	28869	99.6686	765.478	35.9	58.8
P4_82_NODE_39_length_28480_cov_4.996120	1	28480	8239	28480	100	39.352	36	57.2
P4_82_NODE_40_length_27984_cov_4.705855	1	27984	7945	27984	100	38.318	35.7	57.6
P4_82_NODE_41_length_27177_cov_12.241331	1	27177	18893	27177	100	96.1797	35.9	59.5
P4_82_NODE_42_length_27060_cov_39.367430	1	27060	61546	27060	100	315.189	35.9	59.7
P4_82_NODE_43_length_26684_cov_19.647739	1	26684	29464	26684	100	153.845	35.8	59.7
P4_82_NODE_44_length_25880_cov_2.621830	1	25880	3781	25880	100	20.2172	35.9	59.5
P4_82_NODE_45_length_25488_cov_6.175151	1	25488	8998	25488	100	48.7386	35.9	58.9
P4_82_NODE_46_length_25189_cov_4.451440	1	25189	8112	25176	99.9484	38.9729	34.5	46.8
P4_82_NODE_47_length_24267_cov_3.455965	1	24267	5360	24267	100	28.9109	35.5	57.8
P4_82_NODE_48_length_24228_cov_398.252687	1	24228	570743	24225	99.9876	3265.62	35.8	59.9
P4_82_NODE_49_length_23795_cov_3.691651	1	23795	5035	23776	99.9202	28.731	35.7	58.1
P4_82_NODE_50_length_23520_cov_5.062241	1	23520	6727	23520	100	39.523	35.9	59.4
P4_82_NODE_51_length_23458_cov_3.928421	1	23458	5471	23458	100	31.596	35.8	58.6
P4_82_NODE_52_length_23297_cov_4.270652	1	23297	5468	23297	100	32.3442	35.9	58.9
P4_82_NODE_53_length_23181_cov_14.224993	1	23181	17306	23181	100	106.125	35.7	60
P4_82_NODE_54_length_22454_cov_9.394948	1	22454	11767	22454	100	72.7352	36	59.8
P4_82_NODE_55_length_22260_cov_6.766954	1	22260	8287	22260	100	51.9101	36	59.8
P4_82_NODE_56_length_22142_cov_8.876357	1	22142	11043	22142	100	68.9096	35.8	59.5
P4_82_NODE_57_length_21931_cov_12.356953	1	21931	15131	21931	100	95.8224	35.9	59.5
P4_82_NODE_58_length_21115_cov_1.172670	1	21115	1575	21115	100	9.79185	35.8	57.5
P4_82_NODE_59_length_20781_cov_3.578387	1	20781	4210	20763	99.9134	27.9281	35.8	59.7
P4_82_NODE_60_length_20446_cov_3.000689	1	20446	3629	20446	100	23.8078	35.8	58
P4_82_NODE_61_length_20260_cov_220.682213	1	20260	274084	20260	100	1836.68	35.9	58.1
P4_82_NODE_62_length_19985_cov_12.841172	1	19985	14404	19985	100	100.06	35.9	59.7
P4_82_NODE_63_length_19546_cov_2.114064	1	19546	2569	19546	100	17.4754	35.6	57.3
P4_82_NODE_64_length_19284_cov_5.899515	1	19284	6764	19284	100	47.6442	35.7	58.7
P4_82_NODE_65_length_19011_cov_3.669614	1	19011	4006	19011	100	28.9118	35.9	59.3
P4_82_NODE_66_length_19007_cov_36.903390	1	19007	39597	19007	100	289.46	35.9	59.8
P4_82_NODE_67_length_18969_cov_78.406963	1	18969	84753	18969	100	618.276	36	59.5
P4_82_NODE_68_length_18835_cov_60.314411	1	18835	61519	18835	100	458.571	35.8	60
P4_82_NODE_69_length_18775_cov_3.634706	1	18775	3869	18775	100	28.5003	36	59.6
P4_82_NODE_70_length_18611_cov_2.195304	1	18611	2714	18580	99.8334	18.9036	35.7	57.5
P4_82_NODE_71_length_18559_cov_16.816678	1	18559	18453	18559	100	136.038	35.7	59.3
P4_82_NODE_72_length_18439_cov_1.479849	1	18439	1593	18430	99.9512	11.6301	35.7	58.3
P4_82_NODE_73_length_17522_cov_4.374303	1	17522	4212	17522	100	33.5038	35.9	59.3
P4_82_NODE_74_length_17409_cov_2.872874	1	17409	2718	17382	99.8449	21.8758	35.9	59.8
P4_82_NODE_75_length_17334_cov_4.847678	1	17334	4753	17334	100	37.8781	35.8	59.5
P4_82_NODE_76_length_17258_cov_17.378729	1	17258	17633	17160	99.4321	139.769	35.8	58
P4_82_NODE_77_length_17203_cov_76.465566	1	17203	73187	17203	100	590.984	35.9	57.7
P4_82_NODE_78_length_17190_cov_7.004513	1	17190	6861	17190	100	55.054	35.9	59.6
P4_82_NODE_79_length_17078_cov_65.515486	1	17078	64825	17078	100	526.329	35.8	59.4
P4_82_NODE_80_length_16884_cov_2.247538	1	16884	2093	16875	99.9467	17.2109	36	59.6
P4_82_NODE_81_length_16815_cov_30.894295	1	16815	29217	16815	100	242.039	35.8	59.8
P4_82_NODE_82_length_16640_cov_2.380730	1	16640	2636	16640	100	20.1024	35.4	55.7
P4_82_NODE_83_length_16600_cov_3.167972	1	16600	2963	16600	100	24.5535	35.8	59.7
P4_82_NODE_84_length_16391_cov_30.625615	1	16391	28050	16391	100	237.757	35.9	59.4
P4_82_NODE_85_length_16333_cov_2.983648	1	16333	3055	16333	100	24.8085	35.7	56.8
P4_82_NODE_86_length_16318_cov_3.766413	1	16318	3464	16318	100	29.3254	35.9	58.9
P4_82_NODE_87_length_15688_cov_2.996594	1	15688	2642	15589	99.3689	23.1368	35.9	58.7
P4_82_NODE_88_length_15535_cov_3.044003	1	15535	2692	15535	100	23.6469	35.7	58.4
P4_82_NODE_89_length_15482_cov_12.095083	1	15482	10447	15475	99.9548	93.4168	35.9	59.4
P4_82_NODE_90_length_15376_cov_40.069250	1	15376	34432	15376	100	310.987	36	59.9
P4_82_NODE_91_length_15261_cov_9.245408	1	15261	7978	15261	100	72.5297	35.8	59.4
P4_82_NODE_92_length_15161_cov_4.282094	1	15161	3476	15161	100	32.0854	35.9	59.8
P4_82_NODE_93_length_15079_cov_6.947632	1	15079	5932	15079	100	54.3858	35.9	59.6
P4_82_NODE_94_length_14885_cov_3.248001	1	14885	3839	14885	100	31.5078	36	57
P4_82_NODE_95_length_14845_cov_3.498369	1	14845	3798	14840	99.9663	30.376	35.5	45.9
P4_82_NODE_96_length_14781_cov_1.297734	1	14781	1176	14781	100	10.4368	35.8	57.2
P4_82_NODE_97_length_14580_cov_3.518439	1	14580	2859	14580	100	27.2032	35.7	59.1
P4_82_NODE_98_length_14509_cov_4.474830	1	14509	3752	14509	100	35.2702	35.8	58.9
P4_82_NODE_99_length_14447_cov_3.010335	1	14447	2657	14447	100	24.7128	35.6	58.8
P4_82_NODE_100_length_14351_cov_124.932227	1	14351	98081	14351	100	957.426	36	58.6
P4_82_NODE_101_length_14350_cov_2.923785	1	14350	2740	14350	100	24.6924	35.3	56.5
P4_82_NODE_102_length_14326_cov_2.130573	1	14326	2004	14326	100	17.8455	35.6	56.1
P4_82_NODE_103_length_14290_cov_5.867754	1	14290	6517	14290	100	56.9798	34.6	56.9
P4_82_NODE_104_length_14210_cov_3.447845	1	14210	2916	14210	100	27.7124	35.8	58.9
P4_82_NODE_105_length_14193_cov_6.155197	1	14193	4504	14183	99.9295	43.8232	35.8	56.5
P4_82_NODE_106_length_14186_cov_3.027171	1	14186	2286	14186	100	22.7143	35.8	59.5
P4_82_NODE_107_length_14074_cov_9.385961	1	14074	7412	14074	100	72.8356	35.9	59.5
P4_82_NODE_108_length_13983_cov_2.013496	1	13983	3044	13983	100	23.1693	32.1	41.7
P4_82_NODE_109_length_13966_cov_4.247200	1	13966	3358	13966	100	32.8616	35.8	59.2
P4_82_NODE_110_length_13926_cov_5.066309	1	13926	4253	13916	99.9282	41.1336	35.7	58.1
P4_82_NODE_111_length_13834_cov_4.657182	1	13834	3743	13819	99.8916	36.0645	36	56.4
P4_82_NODE_112_length_13512_cov_46.958162	1	13512	35716	13512	100	365.907	35.9	57.5
P4_82_NODE_113_length_13461_cov_4.399430	1	13461	3341	13447	99.896	34.3857	36	59.6
P4_82_NODE_114_length_13180_cov_1.830690	1	13180	1602	13180	100	14.4369	36	49.2
P4_82_NODE_115_length_13052_cov_4.381509	1	13052	3252	13052	100	34.0833	36	58.4
P4_82_NODE_116_length_12918_cov_2.726136	1	12918	2079	12918	100	21.7622	35.7	58.9
P4_82_NODE_117_length_12887_cov_185.908386	1	12887	133544	12887	100	1445.11	36	59.6
P4_82_NODE_118_length_12837_cov_1.477655	1	12837	1243	12829	99.9377	12.1643	35.6	54.6
P4_82_NODE_119_length_12755_cov_2.895629	1	12755	2094	12755	100	22.5602	35.9	59.1
P4_82_NODE_120_length_12703_cov_1.791746	1	12703	1383	12703	100	14.2976	35.8	56.6
P4_82_NODE_121_length_12691_cov_2.853152	1	12691	2425	12691	100	23.0753	35.9	52.9
P4_82_NODE_122_length_12633_cov_1.578442	1	12633	1163	12633	100	12.4964	35.9	59.3
P4_82_NODE_123_length_12582_cov_11.831152	1	12582	8595	12579	99.9762	94.7542	36	55.3
P4_82_NODE_124_length_12499_cov_8.948189	1	12499	6475	12471	99.776	71.084	35.8	59.4
P4_82_NODE_125_length_12484_cov_267.179574	1	12484	203058	12484	100	2240.52	35.9	59.6
P4_82_NODE_126_length_12252_cov_3.926186	1	12252	3751	12252	100	36.1542	34.3	44.9
P4_82_NODE_127_length_12223_cov_1.400380	1	12223	968	12223	100	10.9372	35.9	59.5
P4_82_NODE_128_length_12092_cov_1.037443	1	12092	763	12092	100	8.22436	35.9	57.3
P4_82_NODE_129_length_12072_cov_6.596400	1	12072	4405	12072	100	50.7942	35.9	59.7
P4_82_NODE_130_length_11921_cov_2.320841	1	11921	2030	11921	100	20.1044	35.2	47.3
P4_82_NODE_131_length_11828_cov_3.980087	1	11828	2894	11824	99.9662	32.7086	35.8	58.8
P4_82_NODE_132_length_11763_cov_8.451959	1	11763	5480	11763	100	64.8424	36	59.2
P4_82_NODE_133_length_11668_cov_3.197383	1	11668	2162	11668	100	25.0147	35.7	58.5
P4_82_NODE_134_length_11612_cov_6.061297	1	11612	4211	11612	100	49.0434	35.7	58
P4_82_NODE_135_length_11236_cov_2.482942	1	11236	1575	11236	100	19.0113	35.7	58.7
P4_82_NODE_136_length_11063_cov_2.937637	1	11063	1878	11063	100	23.3142	35.6	59.5
P4_82_NODE_137_length_10957_cov_2.024746	1	10957	1509	10940	99.8448	17.977	35.7	56.7
P4_82_NODE_138_length_10925_cov_1.720041	1	10925	1932	10925	100	16.3988	35	30.9
P4_82_NODE_139_length_10864_cov_8.971687	1	10864	5394	10864	100	68.4465	36	58.2
P4_82_NODE_140_length_10841_cov_2.686765	1	10841	1753	10841	100	21.7929	35.9	58.3
P4_82_NODE_141_length_10698_cov_3.740044	1	10698	2165	10698	100	28.1909	36.1	59.9
P4_82_NODE_142_length_10573_cov_1.430308	1	10573	889	10573	100	11.179	35.7	57.7
P4_82_NODE_143_length_10558_cov_13.902106	1	10558	8064	10558	100	106.052	35.9	59.8
P4_82_NODE_144_length_10508_cov_2.781331	1	10508	1831	10508	100	23.2071	35.4	58.4
P4_82_NODE_145_length_10447_cov_2.999612	1	10447	1763	10447	100	23.0414	36	59.6
P4_82_NODE_146_length_10365_cov_5.705704	1	10365	3529	10365	100	46.1208	35.7	57.7
P4_82_NODE_147_length_10298_cov_1.187396	1	10298	732	10298	100	9.30161	35.6	56.3
P4_82_NODE_148_length_10260_cov_23.169250	1	10260	13499	10260	100	181.347	35.9	59.8
P4_82_NODE_149_length_10255_cov_3.211888	1	10255	4199	10255	100	48.4623	35.9	36.6
P4_82_NODE_150_length_10131_cov_1.572671	1	10131	961	10131	100	12.52	35.5	57.7
P4_82_NODE_151_length_10044_cov_10.633357	1	10044	6371	10044	100	85.83	35.9	56.8
P4_82_NODE_152_length_10021_cov_21.767738	1	10021	12164	10021	100	168.755	35.9	59.8
P4_82_NODE_153_length_9876_cov_6.793004	1	9876	4177	9876	100	54.5809	35.5	57.6
P4_82_NODE_154_length_9857_cov_5.432477	1	9857	3620	9857	100	49.3098	35.9	53.7
P4_82_NODE_155_length_9855_cov_1.207751	1	9855	712	9855	100	9.53445	35.8	57.7
