#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
P4_19_NODE_1_length_1138494_cov_165.364412	1	1138494	10522068	1138494	100	1296.52	35.9	60
P4_19_NODE_2_length_515708_cov_166.814256	1	515708	4792882	515698	99.9981	1305.36	35.9	60
P4_19_NODE_3_length_296521_cov_34.695092	1	296521	564210	296521	100	266.741	35.9	60
P4_19_NODE_4_length_157749_cov_329.360901	1	157749	2914376	157749	100	2593.55	35.9	60
P4_19_NODE_5_length_101782_cov_28.443303	1	101782	154144	101782	100	214.757	35.7	59.8
P4_19_NODE_6_length_99659_cov_19.912711	1	99659	109690	99271	99.6107	154.79	35.7	59
P4_19_NODE_7_length_92951_cov_14.464912	1	92951	69736	92951	100	106.431	35.7	58.4
P4_19_NODE_8_length_74183_cov_97.283340	1	74183	402219	74183	100	759.347	35.9	59.5
P4_19_NODE_9_length_72813_cov_96.466775	1	72813	380856	72715	99.8654	743.216	35.7	59.1
P4_19_NODE_10_length_65215_cov_5.617718	1	65215	19404	65215	100	42.1649	35.7	59.8
P4_19_NODE_11_length_61805_cov_9.717306	1	61805	31934	61805	100	73.1263	35.7	59.8
P4_19_NODE_12_length_61677_cov_8.576556	1	61677	28029	61667	99.9838	64.2694	35.7	59.2
P4_19_NODE_13_length_59356_cov_20.127286	1	59356	63303	59159	99.6681	151.718	35.7	59.3
P4_19_NODE_14_length_55713_cov_14.164430	1	55713	41841	55617	99.8277	106.664	35.7	59.8
P4_19_NODE_15_length_49387_cov_5.899249	1	49387	15662	49387	100	44.7253	35.7	59.7
P4_19_NODE_16_length_46999_cov_17.418651	1	46999	43276	46999	100	130.913	35.6	59.8
P4_19_NODE_17_length_46185_cov_6.202527	1	46185	15302	46183	99.9957	46.7587	35.7	59.7
P4_19_NODE_18_length_43497_cov_13.712428	1	43497	32744	43497	100	105.649	35.7	58.3
P4_19_NODE_19_length_43426_cov_3.273932	1	43426	7811	43426	100	25.187	35.7	59.3
P4_19_NODE_20_length_41392_cov_11.147849	1	41392	24878	41392	100	85.113	35.7	59.5
P4_19_NODE_21_length_40470_cov_2.531344	1	40470	5425	40470	100	18.9376	35.7	59.5
P4_19_NODE_22_length_38796_cov_8.159870	1	38796	17156	38796	100	62.3238	35.6	58.8
P4_19_NODE_23_length_38596_cov_13.459695	1	38596	26908	38596	100	99.6591	35.8	59.9
P4_19_NODE_24_length_38461_cov_6.957166	1	38461	14135	38364	99.7478	52.0529	35.7	59.3
P4_19_NODE_25_length_38297_cov_12.909170	1	38297	26436	38297	100	97.7072	35.7	59.8
P4_19_NODE_26_length_37708_cov_11.120114	1	37708	22072	37708	100	82.9996	35.7	59.6
P4_19_NODE_27_length_36996_cov_7.517833	1	36996	14728	36996	100	56.2528	35.7	59.3
P4_19_NODE_28_length_36815_cov_4.356438	1	36815	8396	36813	99.9946	32.4435	35.7	59.8
P4_19_NODE_29_length_36444_cov_3.474103	1	36444	6723	36444	100	26.0788	35.7	59.2
P4_19_NODE_30_length_35867_cov_2.752322	1	35867	5451	35867	100	21.1332	35.8	59.3
P4_19_NODE_31_length_35540_cov_3.693531	1	35540	7155	35540	100	28.4048	35.7	59.6
P4_19_NODE_32_length_35230_cov_4.179928	1	35230	7896	35230	100	31.642	35.7	59.3
P4_19_NODE_33_length_34951_cov_5.219676	1	34951	10207	34922	99.917	40.8771	35.7	58.5
P4_19_NODE_34_length_34630_cov_5.641220	1	34630	10350	34630	100	42.3116	35.7	59.7
P4_19_NODE_35_length_34629_cov_15.923802	1	34629	29513	34629	100	120.436	35.8	59.7
P4_19_NODE_36_length_33862_cov_10.236816	1	33862	18638	33862	100	77.6804	35.7	59.3
P4_19_NODE_37_length_33698_cov_17.793899	1	33698	31454	33587	99.6706	132.43	35.8	59.4
P4_19_NODE_38_length_33180_cov_6.590264	1	33180	11910	33180	100	50.6777	35.7	58.8
P4_19_NODE_39_length_32960_cov_6.039168	1	32960	10829	32960	100	46.0707	35.8	59.6
P4_19_NODE_40_length_32847_cov_2.342176	1	32847	4103	32847	100	17.6622	35.7	59.8
P4_19_NODE_41_length_32615_cov_2.932129	1	32615	5067	32615	100	22.0252	35.8	59.9
P4_19_NODE_42_length_31965_cov_2.953358	1	31965	5009	31965	100	22.1902	35.7	59.5
P4_19_NODE_43_length_31916_cov_3.553368	1	31916	6165	31906	99.9687	27.1823	35.7	59
P4_19_NODE_44_length_31835_cov_8.745143	1	31835	14851	31835	100	66.0517	35.7	59.3
P4_19_NODE_45_length_31137_cov_2.419058	1	31137	4019	31137	100	18.2605	35.7	59.6
P4_19_NODE_46_length_30681_cov_8.086175	1	30681	13258	30681	100	61.3144	35.7	59.5
P4_19_NODE_47_length_30162_cov_5.121292	1	30162	8410	30044	99.6088	39.3334	35.6	58.1
P4_19_NODE_48_length_29965_cov_2.315537	1	29965	3667	29965	100	17.2778	35.7	58.8
P4_19_NODE_49_length_29562_cov_7.034007	1	29562	11836	29562	100	55.8099	35.7	58.9
P4_19_NODE_50_length_29435_cov_9.019824	1	29435	14366	29435	100	68.8331	35.7	59.6
P4_19_NODE_51_length_29186_cov_3.536013	1	29186	5485	29156	99.8972	26.5489	35.8	59.9
P4_19_NODE_52_length_28789_cov_2.935524	1	28789	4511	28789	100	22.1322	35.7	59.3
P4_19_NODE_53_length_28317_cov_2.190067	1	28317	3289	28317	100	16.3736	35.7	60
P4_19_NODE_54_length_28039_cov_6.059329	1	28039	9254	27931	99.6148	46.4677	35.6	58.6
P4_19_NODE_55_length_27874_cov_3.921109	1	27874	6179	27874	100	30.753	35.8	59.1
P4_19_NODE_56_length_27821_cov_2.755290	1	27821	4172	27813	99.9712	20.9996	35.7	58.7
P4_19_NODE_57_length_26867_cov_1.933508	1	26867	2905	26867	100	15.0025	35.6	58.6
P4_19_NODE_58_length_25821_cov_2.845256	1	25821	3879	25821	100	21.3063	35.7	59.8
P4_19_NODE_59_length_25459_cov_2.165640	1	25459	2926	25459	100	16.2754	35.7	59.8
P4_19_NODE_60_length_25284_cov_4.227849	1	25284	5707	25284	100	31.9707	35.7	59.6
P4_19_NODE_61_length_25232_cov_11.300578	1	25232	15152	25135	99.6156	85.1922	35.7	59.3
P4_19_NODE_62_length_25055_cov_2.899832	1	25055	3876	25055	100	21.8504	35.7	59.1
P4_19_NODE_63_length_24862_cov_5.946473	1	24862	8032	24862	100	45.606	35.7	58.9
P4_19_NODE_64_length_24727_cov_3.285691	1	24727	4329	24727	100	24.6766	35.7	59.7
P4_19_NODE_65_length_24713_cov_2.337143	1	24713	3141	24713	100	17.902	35.7	58.6
