#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
P3_68_NODE_1_length_79544_cov_191.126321	1	79544	809131	79539	99.9937	1453.5	35.6	60
P3_68_NODE_2_length_51437_cov_16.457435	1	51437	49088	51437	100	130.111	35.6	57.1
P3_68_NODE_3_length_50981_cov_220.033409	1	50981	680239	50975	99.9882	1811.48	35.8	57.5
P3_68_NODE_4_length_43283_cov_41.588145	1	43283	102983	43185	99.7736	330.49	35.8	59.2
P3_68_NODE_5_length_40416_cov_27.418377	1	40416	64061	40416	100	217.892	35.8	59.6
P3_68_NODE_6_length_40379_cov_90.070829	1	40379	201929	40379	100	701.174	35.9	59.9
P3_68_NODE_7_length_38824_cov_192.408921	1	38824	446304	38824	100	1592.35	35.8	59.7
P3_68_NODE_8_length_37896_cov_7.244989	1	37896	16565	37896	100	58.974	35.6	58.7
P3_68_NODE_9_length_34840_cov_120.217757	1	34840	239472	34840	100	953.39	35.9	59.6
P3_68_NODE_10_length_31696_cov_138.652666	1	31696	250662	31696	100	1104.06	35.8	59.9
P3_68_NODE_11_length_30711_cov_31.867676	1	30711	53963	30711	100	245.483	35.9	59.8
P3_68_NODE_12_length_30221_cov_13.585200	1	30221	25180	30221	100	113.799	35.4	59.3
P3_68_NODE_13_length_29782_cov_593.189108	1	29782	1058729	29782	100	4960.32	35.8	59.7
P3_68_NODE_14_length_28762_cov_3.461673	1	28762	6123	28762	100	28.2646	35.5	58
P3_68_NODE_15_length_28627_cov_75.790842	1	28627	125133	28530	99.6612	604.526	35.8	59.6
P3_68_NODE_16_length_28206_cov_25.605684	1	28206	40140	28206	100	198.159	35.8	59.4
P3_68_NODE_17_length_27359_cov_1727.765056	1	27359	2831378	27359	100	14471.2	35.9	59.4
P3_68_NODE_18_length_26436_cov_8.266905	1	26436	12032	26436	100	63.3411	35.8	59.2
P3_68_NODE_19_length_25194_cov_32.813181	1	25194	48170	25194	100	264.699	35.8	59.3
P3_68_NODE_20_length_23483_cov_1.913855	1	23483	2733	23475	99.9659	15.4907	35.7	57.9
P3_68_NODE_21_length_22948_cov_17.439420	1	22948	22493	22948	100	136.101	35.8	59.8
P3_68_NODE_22_length_22550_cov_5.232306	1	22550	7346	22528	99.9024	43.0489	35.3	54.6
P3_68_NODE_23_length_22241_cov_9.099665	1	22241	11410	22241	100	71.1024	35.8	59.7
P3_68_NODE_24_length_21719_cov_7.553214	1	21719	9155	21709	99.954	58.3721	35.8	59.7
P3_68_NODE_25_length_21234_cov_125.555408	1	21234	165406	21234	100	1061.32	35.6	59
P3_68_NODE_26_length_21184_cov_4.483022	1	21184	5793	21184	100	36.6817	35.6	58.3
P3_68_NODE_27_length_20934_cov_3.154179	1	20934	4184	20934	100	26.1853	35.4	57.7
P3_68_NODE_28_length_20702_cov_45.308287	1	20702	53185	20702	100	355.337	35.9	59.9
P3_68_NODE_29_length_20635_cov_8.076214	1	20635	10209	20635	100	67.663	35.6	57.2
P3_68_NODE_30_length_19964_cov_6.336795	1	19964	7274	19964	100	49.852	35.8	59.3
P3_68_NODE_31_length_19881_cov_8.765465	1	19881	9980	19773	99.4568	69.3417	35.7	58.9
P3_68_NODE_32_length_19748_cov_3.655726	1	19748	4651	19748	100	30.88	35.4	57.2
P3_68_NODE_33_length_19717_cov_11.112302	1	19717	12541	19717	100	87.6976	35.7	59.5
P3_68_NODE_34_length_19437_cov_13.843242	1	19437	14855	19437	100	106.532	35.8	59.8
P3_68_NODE_35_length_19340_cov_4.918180	1	19340	5579	19340	100	39.1905	35.7	58.7
P3_68_NODE_36_length_19059_cov_2.199662	1	19059	2322	19056	99.9843	16.8535	35.8	59.3
P3_68_NODE_37_length_19023_cov_4.400826	1	19023	4963	19023	100	35.3857	35.5	58.7
P3_68_NODE_38_length_18890_cov_5.417311	1	18890	6484	18890	100	45.5131	35.3	57.4
