#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
P1_53_NODE_1_length_146523_cov_12.114682	1	146523	186564	146523	100	146.598	36.1	59.6
P1_53_NODE_2_length_128319_cov_107.882481	1	128319	1465769	128319	100	1319.24	36.2	59.6
P1_53_NODE_3_length_94280_cov_92.996569	1	94280	936423	94280	100	1039.47	35.8	49.8
P1_53_NODE_4_length_93044_cov_76.320953	1	93044	743257	93044	100	923.83	36.2	59.7
P1_53_NODE_5_length_91373_cov_62.178485	1	91373	589462	91373	100	747.896	36.2	59.7
P1_53_NODE_6_length_83988_cov_5.401999	1	83988	47433	83986	99.9976	65.2021	36.1	59.6
P1_53_NODE_7_length_81604_cov_21.285087	1	81604	180480	81604	100	255.875	36.1	59.7
P1_53_NODE_8_length_80419_cov_88.797414	1	80419	571483	80323	99.8806	896.116	36	59.4
P1_53_NODE_9_length_76692_cov_39.387919	1	76692	316206	76692	100	477.009	36.1	59.3
P1_53_NODE_10_length_76446_cov_6.002070	1	76446	47017	76446	100	71.3165	36.1	59.6
P1_53_NODE_11_length_73471_cov_27.014207	1	73471	194639	73471	100	311.954	36.1	59.8
P1_53_NODE_12_length_67649_cov_20.880913	1	67649	147801	67649	100	252.425	36.1	59.7
P1_53_NODE_13_length_65656_cov_23.969647	1	65656	165506	65656	100	290.702	36.2	59.1
P1_53_NODE_14_length_63497_cov_18.710652	1	63497	123086	63497	100	223.969	36.2	59.7
P1_53_NODE_15_length_59375_cov_20.165001	1	59375	124128	59375	100	240.902	36.2	59
P1_53_NODE_16_length_57619_cov_16.967056	1	57619	104955	57619	100	208.436	36.2	58.7
P1_53_NODE_17_length_56701_cov_7.907484	1	56701	51731	56701	100	101.896	36.2	59.5
P1_53_NODE_18_length_55371_cov_52.686681	1	55371	303247	55371	100	634.341	36.2	59.5
P1_53_NODE_19_length_55360_cov_16.747415	1	55360	77854	55360	100	174.225	36	59.7
P1_53_NODE_20_length_55085_cov_14.134011	1	55085	83460	55085	100	173.191	36.2	59.3
P1_53_NODE_21_length_54307_cov_89.372481	1	54307	513634	54307	100	1090.4	36.2	59.7
P1_53_NODE_22_length_52728_cov_33.141803	1	52728	181997	52728	100	398.876	36.1	59.7
P1_53_NODE_23_length_52514_cov_83.868593	1	52514	469369	52514	100	1026.9	36.2	59.7
