#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
P3_86_NODE_1_length_163128_cov_62.248894	1	163128	537553	163119	99.9945	467.45	35.7	60
P3_86_NODE_2_length_131278_cov_53.142195	1	131278	361900	131278	100	393.665	35.7	60
P3_86_NODE_3_length_125558_cov_175.605305	1	125558	1188978	125558	100	1344.05	35.7	59.9
P3_86_NODE_4_length_108915_cov_169.548866	1	108915	978383	108915	100	1280.09	35.7	60
P3_86_NODE_5_length_102925_cov_90.043970	1	102925	497665	102925	100	684.273	35.9	59.4
P3_86_NODE_6_length_97800_cov_88.677997	1	97800	464934	97800	100	671.722	35.8	60
P3_86_NODE_7_length_87046_cov_12.690735	1	87046	62199	87046	100	101.341	35.7	56.4
P3_86_NODE_8_length_82023_cov_12.000830	1	82023	51483	82023	100	89.115	35.7	59.9
P3_86_NODE_9_length_80417_cov_19.103986	1	80417	81477	80417	100	143.34	35.7	60
P3_86_NODE_10_length_78546_cov_16.724875	1	78546	68910	78546	100	124.475	35.8	60
P3_86_NODE_11_length_77563_cov_42.038083	1	77563	165860	77563	100	307.481	35.5	60
P3_86_NODE_12_length_73258_cov_8.021783	1	73258	30884	73070	99.7434	59.1301	35.8	54.8
P3_86_NODE_13_length_71891_cov_60.865322	1	71891	232959	71795	99.8665	459.313	35.7	59.8
P3_86_NODE_14_length_65969_cov_34.340375	1	65969	119417	65969	100	256.762	35.8	59.9
P3_86_NODE_15_length_65281_cov_61.559567	1	65281	210277	65281	100	458.74	35.7	59.9
P3_86_NODE_16_length_65155_cov_16.610952	1	65155	56428	65155	100	123.172	35.7	60
P3_86_NODE_17_length_65123_cov_50.903348	1	65123	182069	64833	99.5547	393.48	35.8	59.6
P3_86_NODE_18_length_65089_cov_26.752779	1	65089	91541	65081	99.9877	199.689	35.7	59.9
P3_86_NODE_19_length_64754_cov_55.006097	1	64754	184520	64754	100	406.625	35.7	60
P3_86_NODE_20_length_64670_cov_8.318780	1	64670	28525	64670	100	62.413	35.7	60
P3_86_NODE_21_length_61152_cov_4.313855	1	61152	13926	61143	99.9853	32.2007	35.7	59.8
P3_86_NODE_22_length_60384_cov_12.074000	1	60384	38976	60384	100	91.0279	35.7	59.9
P3_86_NODE_23_length_60286_cov_93.353546	1	60286	299263	60286	100	703.766	35.7	60
P3_86_NODE_24_length_59820_cov_8.488365	1	59820	26423	59820	100	62.7503	35.6	59.9
P3_86_NODE_25_length_58447_cov_71.230230	1	58447	227022	58354	99.8409	546.845	35.8	59.7
P3_86_NODE_26_length_56865_cov_25.340142	1	56865	78210	56865	100	193.436	35.9	59.9
P3_86_NODE_27_length_55346_cov_19.335193	1	55346	56242	55247	99.8211	143.919	35.8	59.8
P3_86_NODE_28_length_55159_cov_12.892771	1	55159	37886	55159	100	96.9043	35.8	59.9
P3_86_NODE_29_length_54545_cov_3.880352	1	54545	10814	54527	99.967	28.3246	35.6	60
P3_86_NODE_30_length_54310_cov_31.688648	1	54310	91679	54310	100	238.169	35.8	60
P3_86_NODE_31_length_54297_cov_15.576112	1	54297	44837	54297	100	117.003	35.7	60
P3_86_NODE_32_length_51584_cov_119.231144	1	51584	322051	51584	100	889.139	35.7	60
P3_86_NODE_33_length_49047_cov_16.324836	1	49047	43094	49028	99.9613	123.585	35.8	59.9
P3_86_NODE_34_length_48669_cov_8.952289	1	48669	23222	48669	100	67.3785	35.7	59.6
P3_86_NODE_35_length_48048_cov_10.775985	1	48048	27572	48048	100	81.1095	35.6	59.7
P3_86_NODE_36_length_48016_cov_34.698031	1	48016	86726	48016	100	257.346	35.6	60
P3_86_NODE_37_length_47976_cov_3.055592	1	47976	8040	47966	99.9792	23.6231	35.7	58.6
P3_86_NODE_38_length_47738_cov_5.273193	1	47738	12811	47738	100	38.4379	35.6	59.9
P3_86_NODE_39_length_46240_cov_13.185978	1	46240	32366	46240	100	98.9247	35.8	59.9
P3_86_NODE_40_length_46124_cov_31.970020	1	46124	77245	46124	100	237.763	35.7	60
P3_86_NODE_41_length_45243_cov_33.855018	1	45243	80165	45243	100	251.649	35.8	59.8
P3_86_NODE_42_length_45142_cov_39.040920	1	45142	93159	45142	100	293.384	35.7	59.9
