#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
P4_54_NODE_1_length_90242_cov_372.078932	1	90242	1832756	90242	100	2899.54	35.6	59.9
P4_54_NODE_2_length_88836_cov_188.430937	1	88836	969944	88836	100	1523.79	35.9	59.8
P4_54_NODE_3_length_75224_cov_894.645245	1	75224	3994955	75215	99.988	7438.95	35.9	59.8
P4_54_NODE_4_length_70745_cov_91.805942	1	70745	366556	70745	100	724.563	35.9	59.8
P4_54_NODE_5_length_56647_cov_23.961660	1	56647	76342	56647	100	187.228	35.9	59.6
P4_54_NODE_6_length_53501_cov_23.869187	1	53501	71133	53501	100	185.883	35.8	59.8
P4_54_NODE_7_length_50341_cov_26.900566	1	50341	76498	50251	99.8212	211.794	35.9	56.8
P4_54_NODE_8_length_45818_cov_364.411941	1	45818	982979	45818	100	3001.66	35.8	59.8
P4_54_NODE_9_length_45393_cov_37.599081	1	45393	97135	45393	100	298.448	35.7	59.8
P4_54_NODE_10_length_43001_cov_5.228950	1	43001	13411	43001	100	42.0072	35.5	58.1
P4_54_NODE_11_length_41704_cov_4.291483	1	41704	10057	41704	100	33.3548	35.9	59.6
P4_54_NODE_12_length_40435_cov_83.673167	1	40435	202315	40345	99.7774	690.487	35.7	59.4
P4_54_NODE_13_length_39436_cov_172.095983	1	39436	427111	39436	100	1487.44	35.7	59
P4_54_NODE_14_length_39143_cov_54.593756	1	39143	119899	39143	100	428.973	35.8	59.8
P4_54_NODE_15_length_36501_cov_100.270503	1	36501	194463	36501	100	758.495	35.4	60
P4_54_NODE_16_length_35766_cov_49.235108	1	35766	101630	35766	100	389.236	35.9	58.5
P4_54_NODE_17_length_33878_cov_3.338034	1	33878	6907	33878	100	27.4439	35.4	58.7
P4_54_NODE_18_length_33752_cov_14.343762	1	33752	31181	33748	99.9881	117.79	35.3	51.4
P4_54_NODE_19_length_33646_cov_90.930070	1	33646	168677	33549	99.7117	700.887	36	59.3
P4_54_NODE_20_length_33368_cov_34.851900	1	33368	65529	33358	99.97	273.415	35.8	59.6
P4_54_NODE_21_length_33083_cov_6.268722	1	33083	11372	33067	99.9516	48.1223	35.8	59.6
P4_54_NODE_22_length_32974_cov_22.494200	1	32974	41148	32974	100	173.356	35.9	59.7
P4_54_NODE_23_length_32821_cov_23.690218	1	32821	43100	32821	100	183.06	35.9	59.8
P4_54_NODE_24_length_32448_cov_22.531388	1	32448	44585	32427	99.9353	184.143	35.2	54.9
P4_54_NODE_25_length_32162_cov_7.030373	1	32162	12842	32162	100	55.2025	35.8	59.2
P4_54_NODE_26_length_32049_cov_6.973153	1	32049	13073	32049	100	55.5555	35.6	58.9
P4_54_NODE_27_length_32005_cov_10.351716	1	32005	18588	32005	100	80.7166	35.8	59.6
P4_54_NODE_28_length_31611_cov_5.000159	1	31611	9005	31611	100	39.0845	35.7	59
P4_54_NODE_29_length_31593_cov_11.644187	1	31593	22258	31593	100	94.7801	35.3	54.2
P4_54_NODE_30_length_31340_cov_39.469035	1	31340	69814	31340	100	307.098	35.8	58.6
P4_54_NODE_31_length_29951_cov_13.588385	1	29951	22552	29951	100	104.899	35.8	59.5
P4_54_NODE_32_length_29722_cov_29.037168	1	29722	48264	29722	100	226.526	35.8	59.8
P4_54_NODE_33_length_29395_cov_50.790283	1	29395	90526	29395	100	423.677	35.7	59.5
P4_54_NODE_34_length_29156_cov_37.545971	1	29156	61979	29156	100	295.829	35.8	59.8
P4_54_NODE_35_length_29085_cov_21.541957	1	29085	34609	29085	100	166.365	35.9	59.8
P4_54_NODE_36_length_28940_cov_27.569153	1	28940	44917	28940	100	215.435	35.8	59.8
P4_54_NODE_37_length_28713_cov_3.257399	1	28713	5223	28703	99.9652	25.1079	35.9	59.2
P4_54_NODE_38_length_27715_cov_6.394701	1	27715	10324	27710	99.982	50.713	35.6	58.1
P4_54_NODE_39_length_27583_cov_22.435934	1	27583	34773	27583	100	175.35	35.8	59.8
P4_54_NODE_40_length_27094_cov_3.080357	1	27094	4770	27094	100	23.9775	35.7	59
P4_54_NODE_41_length_27047_cov_57.121917	1	27047	87677	27047	100	451.982	35.8	59.7
P4_54_NODE_42_length_26910_cov_35.817720	1	26910	55442	26910	100	284.121	35.7	58.4
P4_54_NODE_43_length_26894_cov_128.704001	1	26894	205270	26701	99.2824	1057.12	35.7	59.2
P4_54_NODE_44_length_26887_cov_106.030194	1	26887	164162	26791	99.643	849.813	35.8	59.3
P4_54_NODE_45_length_26836_cov_19.818114	1	26836	31013	26836	100	159.583	35.6	59.2
P4_54_NODE_46_length_26273_cov_34.818098	1	26273	50028	26273	100	266.937	35.9	59.8
P4_54_NODE_47_length_26121_cov_5.881280	1	26121	9249	26015	99.5942	47.8105	35.7	57.9
P4_54_NODE_48_length_26016_cov_9.099309	1	26016	13297	25987	99.8885	70.5731	35.8	59
P4_54_NODE_49_length_25919_cov_11.586034	1	25919	18147	25838	99.6875	93.2925	35.5	55.9
P4_54_NODE_50_length_25625_cov_3.483254	1	25625	5346	25625	100	28.2443	35.6	58.2
P4_54_NODE_51_length_25237_cov_9.489685	1	25237	14069	25237	100	76.2248	35.6	59.1
